Unnamed: 0,comments,Service
0,C'est pas petit réseau orange,Orange Money
1,Oui,Orange Money
2,Plus pertinents,Orange Money
3,Aka laissez les gens tranquille. Vous manquez de promo même sur les simples megas. Donc basta,Orange Money
4,Il y'a pas CMR sur ça,Orange Money
5,"La sélection est sur Plus pertinents, certains commentaires ont donc peut-être été filtrés.",Orange Money
6,"À l'heure là, ils ont mal coupé pour moi la",Orange Money
7,"Je n'arrive pas à vous écrire en inbox. Voici le message qui s'affiche quand je veux vous écrire. Je voulais vous faire savoir que lorsque j'ouvre votre page, ce sont les publications de juillet que je vois premièrement, en descendant aux mois précédents. Vous pouvez même le remarquer sur la capture d'écran",Orange Money
8,Pourquoi ces bal perdu,Orange Money
9,Pourquoi om ne passe pas depuis le matin,Orange Money
10,Il faut combien de temps pour pouvoir emprunter aek une puce orange ?,Orange Money
11,C'est ça qu'on attend de les gars,Orange Money
12,Le meilleur reseau au monde,Orange Money
13,"On refuse piannnnnn
vivre paycard",Orange Money
14,C'est quoi le code? Et es que ça marche au Cameroun ?,Orange Money
15,Pour le faites de ne pas permettre au nouveau utilisateur de la puce d'emprunter est méchant,Orange Money
16,Encore la,Orange Money
17,Tt a fait,Orange Money
18,Tiktaj,Orange Money
19,"J'ai remboursé hier même si le délai était le 26 décembre.
Quand on rembourse rapidement, on peut reprendre chap chap si on se retrouve dos au mur.
Merci Orange.",Orange Money
20,Encore,Orange Money
21,C'est gâté,Orange Money
22,Paiya a tiré tout le djai comme Pedri,Orange Money
23,Comment faire pour en prêter ?,Orange Money
24,C'est mal b,Orange Money
25,Mais nous on est pas éligible,Orange Money
26,"Franchement, votre service client manque totalement de compétence et de sérieux.
C’est inadmissible de faire passer des clients arrivés après ceux qui attendent depuis longtemps. J’ai patienté plus d’une heure, et au moment où je demande des explications, on me répond que “c’est maintenant” qu’on veut s’occuper de moi.
Ce genre de comportement montre un vrai manque de professionnalisme. Il serait temps de revoir la gestion de vos clients, car ce n’est pas normal de traiter les gens de cette manière.
Orange Money",Orange Money
27,Vous êtes sur,Orange Money
28,Je m'attendais a quelque chose,Orange Money
29,Et pour l'achat des forfaits,Orange Money
30,L,Orange Money
31,Suivre,Orange Money
32,Ce matin achat a Sococe n'dotre mais pas de bonus reçu,Orange Money
33,Mon meilleure partenaire c'est orange.,Orange Money
34,https://wa.me/2250718509787,Orange Money
35,"Orange Money
Ca fait aujourd'hui 5 jours que j'ai fais une réclamation qui n'a pas encore été traitée à ce jour.
J'ai effectué un virement de mon compte Orange money vers mon compte djamo, mais mon compte djamo n'a pas été crédité et mon compte compte Orange money a été débité. Jai fais une réclamation mais a ce jour là raquette n'a pas encore été traitée. Étonnant pour une entreprise de cette taille.
Merci de faire le nécessaire. 0709263320",Orange Money
36,Bonjour,Orange Money
37,"Premier commentaire, je mérite un cadeau et je commente aussi toujours
Orange Money",Orange Money
38,"À quoi Bon à Un homme de gagner le monde et perdre Son ame, aspirer à devenir une personne très important dans la société c'est devenir entrepreneur, sportif, artiste, ingénieur ou politicien, riche célèbre, c'est bien et c'est Bon mais, Mon frère ma sœur ou passera tu l'éternité a Enfer ou au paradis, la Bible declare que nous avons une seule vie ici sur terre et après viens le jugement, j'ai une très bonne nouvelle à t'annoncer la Bible declare qu'il n'y point de condamnation en ce qui sont en Jésus Christ, que Celui qui crois n'es point juger,il est passé à la Mort à la vie éternelle, Celui qui marche avec Lui ne marchera jamais dans les tenebre mais dans la lumière, Les ténèbres représente l Enfer et Les œuvres de Satan, et il est le chemin la vérité et la vie nul ne vient Au paradis que par lui,l accepté c'est faire le meilleur des meilleurs des choix, c'est Encore le vrai investissement sur et en récompense la vie éternelle, une vie sans fin Ni maladie Ni chagrin, ni vieillesse, c'est ce que tout homme doit faire, Car la vie sur n'es que vanité et poursuite de vents,car il est doux et bon et amour.",Orange Money
39,J’ai un peu mal à la tête,Orange Money
40,"Miedjia
fuego pourquoi tu fais pas ça",Orange Money
41,Oui je l'as,Orange Money
42,D'accord atasaaaa,Orange Money
43,Donner Euphon,Orange Money
44,"Vieux
Miedjia
, on dirait que tu n’as pas pour habitude d’acheter Doliprane lbs hein façon elle insiste là",Orange Money
45,Merci vraiment,Orange Money
46,Elle le connait,Orange Money
47,"Client habituel, sinon comment il peut dire Doliprane et elle va lui donner caoutchouc",Orange Money
48,C'est capole il a pris quoi ?,Orange Money
49,Pfff,Orange Money
50,"La nouvelle Pharmacie les colombes
de Bingerville Akouai santaï. Sur la route de akandjé",Orange Money
51,Je l’a,Orange Money
52,Ah oui je confirme,Orange Money
53,Remettez mes méga,Orange Money
54,Sms n'est pas en ligne hein,Orange Money
55,Maxi mois de Bonus,Orange Money
56,Des bonus,Orange Money
57,"Bonus
Sos
Sms",Orange Money
58,"Loi mois. , pin , pine,seul,mais, valeur, SOS , peau",Orange Money
59,"Bonus
Sms
Sos
Canal plus
Francisca Mn Zouzoua
Chantre Franck Anderson
Francisca Lohoues
Françoise Bénie",Orange Money
60,"Bonus, SOS, SMS",Orange Money
61,C'est dohiiii,Orange Money
62,Canal plus,Orange Money
63,MAXI DE BONUS,Orange Money
64,"Mauvaise qualité de connexion
Maffffff",Orange Money
65,Orange Money aussi daiii… tu cherches palabre c’est ça hein,Orange Money
66,Orange vous êtes méchant,Orange Money
67,Je me suis abonné en même temps car je suis pour le Real Madrid,Orange Money
68,Accroche toi à tes promos OM sans relâche comme ce mec,Orange Money
69,C'est comme ça Orange est attachée à nos crédits et connexions,Orange Money
70,Désabonnement les barcelonais...CM incompétent,Orange Money
71,Qui a rendu mon vini joli cohen ??? Non ihn,Orange Money
72,hala Madrid Orange le seul réseau intègre,Orange Money
73,"Maintenant toute ma famille pour ORANGE: le meilleur réseau de téléphonie mobile ! Même si le diable te tire en arrière, accroche-toi à tes objectifs !",Orange Money
74,"Pedri a beau tirer le maillot de Vini Jr, mais n'a pu l'empêcher de servir ses coéquipiers pour la victoire finale. Les barcelonais ne peuvent donc tirer en arrière une entreprise comme Orange.",Orange Money
75,"Eh ouais, j'ai reçu un pass surprise d'intérêt illimité et appel le mois dernier, c'etait trop top. Mercii",Orange Money
76,"C'est finir plus jamais je vais souscrire sur orange
.",Orange Money
77,Il n'ont rien vu encore Hala Madrid !!!,Orange Money
78,Vous n aurez plus d abonnés orange ok continuez….,Orange Money
79,"Tout le monde est devenu comédien dans pays là
Si tu veux te jouer les sages, vas-y BAGNON",Orange Money
80,MT M est la meilleure SIM ￼du monde,Orange Money
81,"Vinicius n’est pas jolie comme ça, n’exagérez pas heinnn",Orange Money
82,Vísca barçaaaaaaa à vie,Orange Money
83,C'est le nom de Pedri qui est gâté alors qu'il voulait juste faire comme ses ancêtres MODRIC et KROSS,Orange Money
84,"Jusqu’au 31 , nonnn on ne dois en aucun cas raté ça",Orange Money
85,"Le challenge est lancé
ils sont foutu les barcelonais ….",Orange Money
86,Et c'est comme ça orange à attraper mon coffre fort,Orange Money
87,Hala madrid,Orange Money
88,"Le réseau qui m'a dépouillé
sinon je serai déjà millionnaire
à l'heure qu'il est...",Orange Money
89,"Orange
aussi est madrilène
OM CI le
des ivoiriens bât plus fort",Orange Money
90,Respecter len niou quand même,Orange Money
91,"CIE, et Om d’abord
on continue seulement",Orange Money
92,La fierté de voir ORANGE MONEY supporteur du Real Madrid,Orange Money
93,CM es-ce que tu sais que ton DG est barcelonais ?,Orange Money
94,Le meilleur réseau orange,Orange Money
95,"Orange meilleur réseau de tous les temps
pona promos OM tina tiii
￼",Orange Money
96,Vous allez faire je vai jetê ma pus orang..vous les gar de orang vous supporté real les voleur..moi je suis barça et jai trois pus orang que je rechage 15mille sur chaque pus par mois..alor si vous contunie je jetê votre pus pour prendre mtn,Orange Money
97,J'adore trop les ivoiriens ouais,Orange Money
98,"Max Losseni Ouattara
bonne semaine à toi",Orange Money
99,Je me désolidarise de Orange,Orange Money
100,Tu n'a pas honte pour tirer le maillot de vunichit,Orange Money
101,Ok a demain pour le mardi bonus,Orange Money
102,Non mais le CM de OM est méchant,Orange Money
103,"Le Marketing
... J'adore",Orange Money
104,"Y a plus débat
c’est meilleur challenge",Orange Money
105,J'adore ce réseau,Orange Money
106,CM d’orange a grandit à yop forcément,Orange Money
107,Ouais le challenge est fooort,Orange Money
108,VIDÉO LÉGER POUR ORANGE,Orange Money
109,"C'est pourquoi j'aime
C'est pour la vie",Orange Money
110,Il n’y a plus de matures sur la planète terre orange,Orange Money
111,"Le jour on va mettre la main sur vous dans affaire de connexion la, vous n'allez pas croire wallaye",Orange Money
112,C’est fini entre moi et Orange Money aujourd’hui donc vous êtes madrilènes,Orange Money
113,"Façon ils ont attendu leur petite victoire là
weeeh",Orange Money
114,Cette image ci,Orange Money
115,"Donc orange money côte d'ivoire est supporter de Real de Madrid.
Ok bien noté !",Orange Money
116,Attention les barcelonais vont changer le réseau,Orange Money
117,J'espère bien que tu vas terminer ce que tu es dedans là,Orange Money
118,Méfié vous hyn orange!,Orange Money
119,Belle inspiration,Orange Money
120,Il voulait savoir si son mayo est original,Orange Money
121,"Jarl Lüksson
un bon CM doit avoir une bonne dose d'immaturité
.",Orange Money
122,"C’est fini je laisse la puce orange
et tous mes amis barcelonais aussi plus de 5.000.000",Orange Money
123,Mtn meilleur réseau,Orange Money
124,"Où est tigo ??
J'étais au village...",Orange Money
125,J’avais même pas un compte orange money mais dorénavant je serais tout à vous,Orange Money
126,Vous allez faire les suporteur du baça auront honte de souscrire,Orange Money
127,Tchè moi j'ai besoin de crédit hin orange je suis mâle blessé,Orange Money
128,Cette fois-ci vous avez pris mon cœur,Orange Money
129,"Donc
Orange Money
est imature aussi quoi",Orange Money
130,Faut reconnaître le CM d’orange c’est un 10,Orange Money
131,Vous venez de perde un client infidèle,Orange Money
132,Meilleur réseau du monde.,Orange Money
133,"Rémy Djamouss
je suis sur le Community Manager, ça devrait être un vrai poto, madrien dur
chapeau à lui",Orange Money
134,Le pays même n’est pas concentré même CM de CIE est rentré dans sa kpaa,Orange Money
135,"Atassa
je commence a vous aimez hein.",Orange Money
136,Hum lui qui gère la page c'est un madrilène,Orange Money
137,Je ne pense pas que le CM d'orange soit concentré,Orange Money
138,"OM que je connaissais etait une institution très respectueuse et responsable mais celui-là est une honte, très irresponsable",Orange Money
139,Y’a sa entre nous quoi orange ?,Orange Money
140,"C’est pour cela moi j’aime
Wave Côte d'Ivoire
la eux au moins sont barcelonais.
Orange Maudia",Orange Money
141,"Nous sommes plus nombreux qu'eux dans planète là tieeee ils peuvent rien créer
Orange
dormez bien #HalaMadrid",Orange Money
142,Cette affaire va vraiment très loin,Orange Money
143,Si orange money même à confirmer que Barça vaut rien.qui sommes nous madrilais pour douter encore,Orange Money
144,Orange a mauvais fond dèh !!!,Orange Money
145,"Hala Madrid
Oooh ça c'est quoi ça",Orange Money
146,Le photographe qui a pris cette photo est probablement maintenant millionnaire,Orange Money
147,Orange est rentré dans la danse d'attrapéralenti,Orange Money
148,Hala Madrid,Orange Money
149,Des demain je m'en vais retiré mon argent je fais jamais confiance à quelqu'un qui supporte Réal Madrid,Orange Money
150,"Quand le Barça va gagner contre le real j'espère que vous ferez la même chose hien.... ???
Sinon c'est plus du marketing, c'est de la préférence. Ça n'a pas sa place dans le business.",Orange Money
151,Ils sont en ce moment au bord de mer de Libreville,Orange Money
152,"Lamine Yamal : le talent n’excuse pas l’imprudence
Lamine Yamal n’est pas un extra-terrestre, c’est un joueur talentueux. Mais il faut le dire haut et fort : l’humilité ne se négocie pas, elle s’impose quand on veut durer au plus haut niveau.
Son talent est immense, son avenir est prometteur, mais le talent sans sagesse finit toujours par se retourner contre son propriétaire.
Ses récentes déclarations sur le Real Madrid ne traduisent pas la confiance, mais plutôt une certaine immaturité et une dose d’imprudence. Ce n’est pas en crachant sur ses rivaux qu’on prouve sa grandeur.
Il ressemble à cet élève très intelligent, mais impoli, qui pense que ses bonnes notes le mettent au-dessus des règles. Or, l’intelligence sans respect n’est qu’arrogance.
Même ses maîtres à Barcelone, ceux qui l’ont formé et protégé, n’approuvent pas ses sorties médiatiques. Pourquoi ? Parce qu’ils savent que le football, c’est autant une école de talent qu’une école de valeurs.
À 18 ans, il est encore jeune. Mais s’il ne comprend pas vite que la gloire est fragile et que l’humilité est la seule garantie de longévité, il apprendra à ses dépens que le terrain a toujours le dernier mot.
Le football a vu passer beaucoup de génies précoces… Certains ont brillé, d’autres se sont perdus.
Lamine Yamal doit choisir s’il veut être un modèle ou un mirage.
Gilbert KABORE, dit YDGK",Orange Money
153,"Vraiment
Orange Money
je vous félicite pour 0.5% OM Vert mon pays",Orange Money
154,Comment vous aurez une bonne connexion avec des publications pareilles,Orange Money
155,"Orange Money
vous êtes les meilleurs.",Orange Money
156,0153672158,Orange Money
157,Wep faut croire ! Vous avez gagné,Orange Money
158,Même orange est fan,Orange Money
159,"Comment moi je souscris 1500f pour reader un seul match et la 35eme minute connexion est finie …ok Yfô
Si moi je fais transfert sur orange encore c’est que je suis au campement",Orange Money
160,"J'imagine si vous remportez 2 ou 3 clasico. Au match retour, on ne pleure pas hein. On ne veut pas entendre que tel ou tel est blessé ou l'arbitrage a fait ci ou ça.",Orange Money
161,Cette photo doit faire le tour du monde ahhhh,Orange Money
162,"Mes barcelonais là vous voyez comportement d'orange nan
allons chez le voisin c’est mieux",Orange Money
163,Merci orange,Orange Money
164,"Comment vous saisissez nos unités quand on laisse ça dans nos téléphones
Orange",Orange Money
165,Moov est le meilleur réseau,Orange Money
166,J'adore les bonus,Orange Money
167,Ahiii orange Côte-d’Ivoire a quelle soucis,Orange Money
168,J'espère que c'est pas avec la connexion de Orange que tu as écrit ce commentaire,Orange Money
169,Orange ci c'est game quoi,Orange Money
170,Orange pour une fois je vous aime,Orange Money
171,Le goût de cette image seigneur... Tu pouvais tirer ça jusqu'à Yde ça ne se déchire pas...,Orange Money
172,Je suis barcelonais mais je sais que Bellingham a 1000 Pedri dans ses pieds . Je ne peux plus vivre dans le mensonge,Orange Money
173,Je saisis ma chance,Orange Money
174,Mardi bonus,Orange Money
175,C'est comme ça vous tirez nos connexion internet,Orange Money
176,"Cette image fera le tour du monde
.",Orange Money
177,Mon réseau préféré,Orange Money
178,Directement je pars mettre en statut,Orange Money
179,Affaire là vas très loin,Orange Money
180,"C'est ainsi que
Orange
tire ma connexion internet lorsque je me connecte.",Orange Money
181,Merci orange Cameroun,Orange Money
182,J’adore cette pub,Orange Money
183,Orange Money je t’aime,Orange Money
184,À partir d'aujourd'hui je remet ma puce Orange dans mon lalé encore,Orange Money
185,Orange est sorti dans dos,Orange Money
