,comments
0,C'est pas petit réseau orange
1,Oui
2,Plus pertinents
3,Aka laissez les gens tranquille. Vous manquez de promo même sur les simples megas. Donc basta
4,Il y'a pas CMR sur ça
5,"La sélection est sur Plus pertinents, certains commentaires ont donc peut-être été filtrés."
6,"À l'heure là, ils ont mal coupé pour moi la"
7,"Je n'arrive pas à vous écrire en inbox. Voici le message qui s'affiche quand je veux vous écrire. Je voulais vous faire savoir que lorsque j'ouvre votre page, ce sont les publications de juillet que je vois premièrement, en descendant aux mois précédents. Vous pouvez même le remarquer sur la capture d'écran"
8,Pourquoi ces bal perdu
9,Pourquoi om ne passe pas depuis le matin
10,Il faut combien de temps pour pouvoir emprunter aek une puce orange ?
11,C'est ça qu'on attend de les gars
12,Le meilleur reseau au monde
13,"On refuse piannnnnn
vivre paycard"
14,C'est quoi le code? Et es que ça marche au Cameroun ?
15,Pour le faites de ne pas permettre au nouveau utilisateur de la puce d'emprunter est méchant
16,Encore la
17,Tt a fait
18,Tiktaj
19,"J'ai remboursé hier même si le délai était le 26 décembre.
Quand on rembourse rapidement, on peut reprendre chap chap si on se retrouve dos au mur.
Merci Orange."
20,Encore
21,C'est gâté
22,Paiya a tiré tout le djai comme Pedri
23,Comment faire pour en prêter ?
24,C'est mal b
25,Mais nous on est pas éligible
26,"Franchement, votre service client manque totalement de compétence et de sérieux.
C’est inadmissible de faire passer des clients arrivés après ceux qui attendent depuis longtemps. J’ai patienté plus d’une heure, et au moment où je demande des explications, on me répond que “c’est maintenant” qu’on veut s’occuper de moi.
Ce genre de comportement montre un vrai manque de professionnalisme. Il serait temps de revoir la gestion de vos clients, car ce n’est pas normal de traiter les gens de cette manière.
Orange Money"
27,Vous êtes sur
28,Je m'attendais a quelque chose
29,Et pour l'achat des forfaits
30,L
31,Suivre
32,Ce matin achat a Sococe n'dotre mais pas de bonus reçu
33,Mon meilleure partenaire c'est orange.
34,https://wa.me/2250718509787
