Unnamed: 0,comments,Service,clean_sentence,sentiment,cluster,nb_mots,x,y
0,C'est pas petit réseau orange,Orange Money,petit réseau orange,NEUTRAL,3,3,-0.09918868845902623,0.12247367212897735
1,Oui,Orange Money,oui,NEUTRAL,0,1,-0.058078427387993174,-0.015859104108412847
2,Plus pertinents,Orange Money,pertinent,POSITIVE,0,1,-0.05308845890344951,-0.032834753128546154
3,Aka laissez les gens tranquille. Vous manquez de promo même sur les simples megas. Donc basta,Orange Money,aka laisser tranquille manquer promo simple mega baster,NEUTRAL,0,8,-0.053670618092474365,-0.03351725132148301
4,Il y'a pas CMR sur ça,Orange Money,cmr,NEUTRAL,0,1,-0.051871959412641014,-0.031676402284326846
5,"La sélection est sur Plus pertinents, certains commentaires ont donc peut-être été filtrés.",Orange Money,sélection pertinent commentaire être filtrer,POSITIVE,0,5,-0.06008160709306688,-0.01957747045109315
6,"À l'heure là, ils ont mal coupé pour moi la",Orange Money,heure mal couper,NEGATIVE,0,3,-0.0580594871565659,-0.034681044282216335
7,"Je n'arrive pas à vous écrire en inbox. Voici le message qui s'affiche quand je veux vous écrire. Je voulais vous faire savoir que lorsque j'ouvre votre page, ce sont les publications de juillet que je vois premièrement, en descendant aux mois précédents. Vous pouvez même le remarquer sur la capture d'écran",Orange Money,arriver écrir inbox message affiche vouloir écrir vouloir faire savoir ouvrir page publication juillet voir descendre mois précédent pouvoir remarquer capture écran,NEGATIVE,0,22,-0.05853926249912749,-0.03565594732688379
8,Pourquoi ces bal perdu,Orange Money,bal perdu,NEGATIVE,0,2,-0.052927013628210715,-0.03276688932727732
9,Pourquoi om ne passe pas depuis le matin,Orange Money,passer matin,POSITIVE,0,2,-0.06218878395660663,-0.03997259804807409
10,Il faut combien de temps pour pouvoir emprunter aek une puce orange ?,Orange Money,falloir temps pouvoir emprunter aek puce orange,NEGATIVE,0,7,-0.08638057634471566,0.0971573989882535
11,C'est ça qu'on attend de les gars,Orange Money,attendre gars,NEGATIVE,0,2,-0.04120716789393814,-0.03400371741118435
12,Le meilleur reseau au monde,Orange Money,meilleur reseau monde,POSITIVE,0,3,-0.049253879836032265,-0.01908081250228264
13,"On refuse piannnnnn
vivre paycard",Orange Money,refuser piannnnnn vivre paycard,NEGATIVE,0,4,-0.05305009314713585,-0.03404230878509276
14,C'est quoi le code? Et es que ça marche au Cameroun ?,Orange Money,code marche cameroun,POSITIVE,0,3,-0.056077418286692375,-0.03530515281562324
15,Pour le faites de ne pas permettre au nouveau utilisateur de la puce d'emprunter est méchant,Orange Money,faite permettre utilisateur puce emprunter méchant,NEUTRAL,0,6,-0.05286067592567062,-0.026482727140779063
18,Tiktaj,Orange Money,tiktaj,NEUTRAL,0,1,-0.051871959412641014,-0.03167640228432689
19,"J'ai remboursé hier même si le délai était le 26 décembre.
Quand on rembourse rapidement, on peut reprendre chap chap si on se retrouve dos au mur.
Merci Orange.",Orange Money,rembourser hier délai décembre rembourser rapidement reprendre chap chap retrouver dos mur orange,NEGATIVE,0,13,-0.07220324070337918,0.03499103531811079
21,C'est gâté,Orange Money,gâter,POSITIVE,0,1,-0.05418761185845025,-0.03240821478825763
22,Paiya a tiré tout le djai comme Pedri,Orange Money,paiya tirer djai pedri,NEUTRAL,0,4,-0.05614364630479359,-0.03404323641371906
23,Comment faire pour en prêter ?,Orange Money,faire prêter,POSITIVE,0,2,-0.061360430013268255,-0.047943502920964214
24,C'est mal b,Orange Money,mal,NEGATIVE,0,1,-0.05702968398411565,-0.03938749424897648
25,Mais nous on est pas éligible,Orange Money,éligible,POSITIVE,0,1,-0.05388537393047038,-0.03167343867755948
26,"Franchement, votre service client manque totalement de compétence et de sérieux.
C’est inadmissible de faire passer des clients arrivés après ceux qui attendent depuis longtemps. J’ai patienté plus d’une heure, et au moment où je demande des explications, on me répond que “c’est maintenant” qu’on veut s’occuper de moi.
Ce genre de comportement montre un vrai manque de professionnalisme. Il serait temps de revoir la gestion de vos clients, car ce n’est pas normal de traiter les gens de cette manière.
Orange Money",Orange Money,franchement service client manqu totalement compétence sérieux inadmissible faire passer client arriver attendre patienter heure moment demande explication répondre vouloir occuper genre comportement montr vrai manque professionnalisme temps revoir gestion client normal traiter manière orange money,NEGATIVE,0,36,-0.0979923714265961,0.10391164094053042
27,Vous êtes sur,Orange Money,être,POSITIVE,0,1,-0.06439303155137789,-0.0011571357667269893
28,Je m'attendais a quelque chose,Orange Money,attendre chose,NEGATIVE,0,2,-0.04376741098465278,-0.04237434862560548
29,Et pour l'achat des forfaits,Orange Money,achat forfait,NEGATIVE,0,2,-0.04941933614615101,-0.036749573355870466
32,Ce matin achat a Sococe n'dotre mais pas de bonus reçu,Orange Money,matin achat sococe dotre bonus recevoir,POSITIVE,0,6,-0.049757598572888743,-0.04878680479767289
33,Mon meilleure partenaire c'est orange.,Orange Money,meilleur partenaire oranger,POSITIVE,0,3,-0.06675492741353091,-0.0015339930109465989
35,"Orange Money
Ca fait aujourd'hui 5 jours que j'ai fais une réclamation qui n'a pas encore été traitée à ce jour.
J'ai effectué un virement de mon compte Orange money vers mon compte djamo, mais mon compte djamo n'a pas été crédité et mon compte compte Orange money a été débité. Jai fais une réclamation mais a ce jour là raquette n'a pas encore été traitée. Étonnant pour une entreprise de cette taille.
Merci de faire le nécessaire. 0709263320",Orange Money,orange money jour réclamation être traiter jour effectuer virement compte orange money compte djamo compte djamo être créditer compte compte orange money être débiter jai réclamation jour raquette être traiter étonner entreprise taille faire nécessaire,NEGATIVE,3,35,-0.13565981321983425,0.26223080369293583
36,Bonjour,Orange Money,bonjour,NEUTRAL,0,1,-0.05165399261613925,-0.020289681479344533
37,"Premier commentaire, je mérite un cadeau et je commente aussi toujours
Orange Money",Orange Money,commentaire mérite cadeau commenter orange money,POSITIVE,3,6,-0.12918340454086577,0.2784669529277406
